"requirement_id","source","requirement","role","object_or_area","execution_packet","implementation_status","verification_status","evidence"
"BP-ADM-067","Master Blueprint §9.1","Compliance workspace must provide certifications","Compliance","certifications","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-068","Master Blueprint §9.1","Compliance workspace must provide waivers","Compliance","waivers","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-069","Master Blueprint §9.1","Compliance workspace must provide safeguarding","Compliance","safeguarding","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-070","Master Blueprint §9.1","Compliance workspace must provide eligibility","Compliance","eligibility","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-071","Master Blueprint §9.1","Compliance workspace must provide background checks","Compliance","background checks","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-072","Master Blueprint §9.1","Compliance workspace must provide expirations","Compliance","expirations","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-073","Master Blueprint §9.1","Compliance workspace must provide exceptions","Compliance","exceptions","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-074","Master Blueprint §9.1","Compliance workspace must provide audit","Compliance","audit","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-075","Master Blueprint §9.1","Reporting workspace must provide report center","Reporting","report center","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-076","Master Blueprint §9.1","Reporting workspace must provide athletes","Reporting","athletes","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-077","Master Blueprint §9.1","Reporting workspace must provide membership","Reporting","membership","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-078","Master Blueprint §9.1","Reporting workspace must provide registration","Reporting","registration","04","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-079","Master Blueprint §9.1","Reporting workspace must provide finance","Reporting","finance","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-080","Master Blueprint §9.1","Reporting workspace must provide teams","Reporting","teams","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-081","Master Blueprint §9.1","Reporting workspace must provide attendance","Reporting","attendance","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-082","Master Blueprint §9.1","Reporting workspace must provide competition","Reporting","competition","06","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-083","Master Blueprint §9.1","Reporting workspace must provide compliance","Reporting","compliance","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-084","Master Blueprint §9.1","Reporting workspace must provide custom reports","Reporting","custom reports","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-085","Master Blueprint §9.1","Reporting workspace must provide scheduled reports","Reporting","scheduled reports","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-086","Master Blueprint §9.1","Reporting workspace must provide exports","Reporting","exports","11","NOT YET RECONCILED","NOT RUN",""
"ADM-UAT-001","Complete Admin UAT","Admin login succeeds and lands only in Admin experience","Applicable Admin role","Admin login succeeds and lands only in Admin experience","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-002","Complete Admin UAT","Direct SuperUser URL is denied","Applicable Admin role","Direct SuperUser URL is denied","02","REQUIRED","NOT RUN",""
"ADM-UAT-003","Complete Admin UAT","Expired session fails safely","Applicable Admin role","Expired session fails safely","02","REQUIRED","NOT RUN",""
"ADM-UAT-004","Complete Admin UAT","Back button after logout does not expose protected data","Applicable Admin role","Back button after logout does not expose protected data","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-005","Complete Admin UAT","Unauthorized API mutation is rejected","Applicable Admin role","Unauthorized API mutation is rejected","02","REQUIRED","NOT RUN",""
"ADM-UAT-006","Complete Admin UAT","Every Admin navigation item opens without 404/500","Applicable Admin role","Every Admin navigation item opens without 404/500","02","REQUIRED","NOT RUN",""
"ADM-UAT-007","Complete Admin UAT","Deep-link each Admin route and refresh","Applicable Admin role","Deep-link each Admin route and refresh","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-008","Complete Admin UAT","Parent sections and child navigation resolve consistently","Applicable Admin role","Parent sections and child navigation resolve consistently","02","REQUIRED","NOT RUN",""
"ADM-UAT-009","Complete Admin UAT","Browser refresh preserves intended Admin view","Applicable Admin role","Browser refresh preserves intended Admin view","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-010","Complete Admin UAT","Invalid Admin view fails gracefully without exposing another hub","Applicable Admin role","Invalid Admin view fails gracefully without exposing another hub","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-011","Complete Admin UAT","Edit organization profile and verify persistence","Applicable Admin role","Edit organization profile and verify persistence","03","REQUIRED","NOT RUN",""
"ADM-UAT-012","Complete Admin UAT","Create a new team from zero","Applicable Admin role","Create a new team from zero","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-013","Complete Admin UAT","Duplicate team submission","Applicable Admin role","Duplicate team submission","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-014","Complete Admin UAT","Concurrent team edits","Applicable Admin role","Concurrent team edits","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-015","Complete Admin UAT","Assign all intended Admin roles","Applicable Admin role","Assign all intended Admin roles","02","REQUIRED","NOT RUN",""
"ADM-UAT-016","Complete Admin UAT","Admin cannot grant SuperUser/platform authority","Applicable Admin role","Admin cannot grant SuperUser/platform authority","02","REQUIRED","NOT RUN",""
"ADM-UAT-017","Complete Admin UAT","Remove a role during active session","Applicable Admin role","Remove a role during active session","02","REQUIRED","NOT RUN",""
"ADM-UAT-018","Complete Admin UAT","Deleted/deactivated staff dependency","Applicable Admin role","Deleted/deactivated staff dependency","05","REQUIRED","NOT RUN",""
"ADM-UAT-019","Complete Admin UAT","Add athlete with complete valid data","Applicable Admin role","Add athlete with complete valid data","05","REQUIRED","NOT RUN",""
"ADM-UAT-020","Complete Admin UAT","Attempt incomplete athlete creation","Applicable Admin role","Attempt incomplete athlete creation","05","REQUIRED","NOT RUN",""
"ADM-UAT-021","Complete Admin UAT","Duplicate athlete detection","Applicable Admin role","Duplicate athlete detection","05","REQUIRED","NOT RUN",""
"ADM-UAT-022","Complete Admin UAT","Edit athlete while another Admin edits same athlete","Applicable Admin role","Edit athlete while another Admin edits same athlete","05","REQUIRED","NOT RUN",""
"ADM-UAT-023","Complete Admin UAT","Move athlete between squads/groups","Applicable Admin role","Move athlete between squads/groups","05","REQUIRED","NOT RUN",""
"ADM-UAT-024","Complete Admin UAT","Remove athlete with historical dependencies","Applicable Admin role","Remove athlete with historical dependencies","05","REQUIRED","NOT RUN",""
"ADM-UAT-025","Complete Admin UAT","Minor athlete requires correct guardian relationship","Applicable Admin role","Minor athlete requires correct guardian relationship","03","REQUIRED","NOT RUN",""
"ADM-UAT-026","Complete Admin UAT","Duplicate household/guardian relationships","Applicable Admin role","Duplicate household/guardian relationships","03","REQUIRED","NOT RUN",""
"ADM-UAT-027","Complete Admin UAT","Adult athlete path does not force minor guardian assumptions","Applicable Admin role","Adult athlete path does not force minor guardian assumptions","03","REQUIRED","NOT RUN",""
"ADM-UAT-028","Complete Admin UAT","Create registration/membership","Applicable Admin role","Create registration/membership","03","REQUIRED","NOT RUN",""
"ADM-UAT-029","Complete Admin UAT","Duplicate registration submission","Applicable Admin role","Duplicate registration submission","04","REQUIRED","NOT RUN",""
"ADM-UAT-030","Complete Admin UAT","Expired/ineligible membership","Applicable Admin role","Expired/ineligible membership","03","REQUIRED","NOT RUN",""
"ADM-UAT-031","Complete Admin UAT","Late change after dependent workflow exists","Applicable Admin role","Late change after dependent workflow exists","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-032","Complete Admin UAT","Create facility/calendar event","Applicable Admin role","Create facility/calendar event","07","REQUIRED","NOT RUN",""
"ADM-UAT-033","Complete Admin UAT","Facility/time conflict","Applicable Admin role","Facility/time conflict","08","REQUIRED","NOT RUN",""
"ADM-UAT-034","Complete Admin UAT","Delete facility referenced by future events","Applicable Admin role","Delete facility referenced by future events","08","REQUIRED","NOT RUN",""
"ADM-UAT-035","Complete Admin UAT","Timezone/date boundary behavior","Applicable Admin role","Timezone/date boundary behavior","07","REQUIRED","NOT RUN",""
"ADM-UAT-036","Complete Admin UAT","Finance surfaces contain no fabricated balances/invoices","Applicable Admin role","Finance surfaces contain no fabricated balances/invoices","07","REQUIRED","NOT RUN",""
"ADM-UAT-037","Complete Admin UAT","Create/edit supported billing record","Applicable Admin role","Create/edit supported billing record","07","REQUIRED","NOT RUN",""
"ADM-UAT-038","Complete Admin UAT","Failed/declined payment path","Applicable Admin role","Failed/declined payment path","07","REQUIRED","NOT RUN",""
"ADM-UAT-039","Complete Admin UAT","Concurrent financial edit","Applicable Admin role","Concurrent financial edit","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-040","Complete Admin UAT","Unauthorized financial remedy/approval","Applicable Admin role","Unauthorized financial remedy/approval","02","REQUIRED","NOT RUN",""
"ADM-UAT-041","Complete Admin UAT","Valid import creates expected canonical records","Applicable Admin role","Valid import creates expected canonical records","11","REQUIRED","NOT RUN",""
"ADM-UAT-042","Complete Admin UAT","Malformed import","Applicable Admin role","Malformed import","11","REQUIRED","NOT RUN",""
"ADM-UAT-043","Complete Admin UAT","Import with duplicates","Applicable Admin role","Import with duplicates","11","REQUIRED","NOT RUN",""
"ADM-UAT-044","Complete Admin UAT","Interrupted/retried import","Applicable Admin role","Interrupted/retried import","11","REQUIRED","NOT RUN",""
"ADM-UAT-045","Complete Admin UAT","Required consent/document status","Applicable Admin role","Required consent/document status","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-046","Complete Admin UAT","Expired credential blocks dependent action where required","Applicable Admin role","Expired credential blocks dependent action where required","10","REQUIRED","NOT RUN",""
"ADM-UAT-047","Complete Admin UAT","Historical compliance evidence survives updates","Applicable Admin role","Historical compliance evidence survives updates","10","REQUIRED","NOT RUN",""
"ADM-UAT-048","Complete Admin UAT","Report reflects canonical records after changes","Applicable Admin role","Report reflects canonical records after changes","11","REQUIRED","NOT RUN",""
"ADM-UAT-049","Complete Admin UAT","Empty report is honest","Applicable Admin role","Empty report is honest","11","REQUIRED","NOT RUN",""
"ADM-UAT-050","Complete Admin UAT","Large/filter edge cases","Applicable Admin role","Large/filter edge cases","07","REQUIRED","NOT RUN",""
"ADM-UAT-051","Complete Admin UAT","Rapid double-click on create/save actions","Applicable Admin role","Rapid double-click on create/save actions","07","REQUIRED","NOT RUN",""
"ADM-UAT-052","Complete Admin UAT","Network loss during a write","Applicable Admin role","Network loss during a write","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-053","Complete Admin UAT","Refresh during an in-progress workflow","Applicable Admin role","Refresh during an in-progress workflow","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-054","Complete Admin UAT","Browser back/forward during multi-step workflow","Applicable Admin role","Browser back/forward during multi-step workflow","07","REQUIRED","NOT RUN",""
"ADM-UAT-055","Complete Admin UAT","Two Admin users perform related writes simultaneously","Applicable Admin role","Two Admin users perform related writes simultaneously","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-056","Complete Admin UAT","Referenced dependency is deleted/deactivated mid-workflow","Applicable Admin role","Referenced dependency is deleted/deactivated mid-workflow","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-057","Complete Admin UAT","Malformed/oversized text and special characters","Applicable Admin role","Malformed/oversized text and special characters","07","REQUIRED","NOT RUN",""
"ADM-UAT-058","Complete Admin UAT","Stale record open for a long time then saved","Applicable Admin role","Stale record open for a long time then saved","12/13/14","REQUIRED","NOT RUN",""
"ADM-UAT-059","Complete Admin UAT","Partial server failure after request begins","Applicable Admin role","Partial server failure after request begins","07","REQUIRED","NOT RUN",""
"ADM-UAT-060","Complete Admin UAT","Retry after timeout where original result is unknown","Applicable Admin role","Retry after timeout where original result is unknown","12/13/14","REQUIRED","NOT RUN",""
"ADM-GUIDE-001","Admin Guided Walkthrough","Login & Admin entry","Applicable Admin role","Login & Admin entry","12/13/14","REQUIRED","NOT RUN",""
"ADM-GUIDE-002","Admin Guided Walkthrough","Admin shell & navigation","Applicable Admin role","Admin shell & navigation","02","REQUIRED","NOT RUN",""
"ADM-GUIDE-003","Admin Guided Walkthrough","Command Center orientation","Applicable Admin role","Command Center orientation","02","REQUIRED","NOT RUN",""
"ADM-GUIDE-004","Admin Guided Walkthrough","Command Center create task","Applicable Admin role","Command Center create task","02","REQUIRED","NOT RUN",""
"ADM-GUIDE-005","Admin Guided Walkthrough","Command Center complete task","Applicable Admin role","Command Center complete task","02","REQUIRED","NOT RUN",""
"ADM-GUIDE-006","Admin Guided Walkthrough","Organization Architecture","Applicable Admin role","Organization Architecture","03","REQUIRED","NOT RUN",""
"ADM-GUIDE-007","Admin Guided Walkthrough","Team/Roster Manager roster","Applicable Admin role","Team/Roster Manager roster","05","REQUIRED","NOT RUN",""
"ADM-GUIDE-008","Admin Guided Walkthrough","Team/Roster Manager athlete drawer","Applicable Admin role","Team/Roster Manager athlete drawer","05","REQUIRED","NOT RUN",""
"ADM-GUIDE-009","Admin Guided Walkthrough","Team/Roster Manager Admin actions","Applicable Admin role","Team/Roster Manager Admin actions","05","REQUIRED","NOT RUN",""
"ADM-GUIDE-010","Admin Guided Walkthrough","Registrar","Applicable Admin role","Registrar","04","REQUIRED","NOT RUN",""
"ADM-GUIDE-011","Admin Guided Walkthrough","Rosters navigation surface","Applicable Admin role","Rosters navigation surface","02","REQUIRED","NOT RUN",""
"ADM-GUIDE-012","Admin Guided Walkthrough","Membership","Applicable Admin role","Membership","03","REQUIRED","NOT RUN",""
"ADM-GUIDE-013","Admin Guided Walkthrough","Programs","Applicable Admin role","Programs","03","REQUIRED","NOT RUN",""
"ADM-GUIDE-014","Admin Guided Walkthrough","Teams","Applicable Admin role","Teams","12/13/14","REQUIRED","NOT RUN",""
"ADM-GUIDE-015","Admin Guided Walkthrough","Seasons","Applicable Admin role","Seasons","03","REQUIRED","NOT RUN",""
"ADM-GUIDE-016","Admin Guided Walkthrough","Finance & Accounting","Applicable Admin role","Finance & Accounting","07","REQUIRED","NOT RUN",""
"ADM-GUIDE-017","Admin Guided Walkthrough","Billing","Applicable Admin role","Billing","07","REQUIRED","NOT RUN",""
"ADM-GUIDE-018","Admin Guided Walkthrough","Invoices","Applicable Admin role","Invoices","07","REQUIRED","NOT RUN",""
"ADM-GUIDE-019","Admin Guided Walkthrough","Payments","Applicable Admin role","Payments","07","REQUIRED","NOT RUN",""
"ADM-GUIDE-020","Admin Guided Walkthrough","Payroll","Applicable Admin role","Payroll","07","REQUIRED","NOT RUN",""
"ADM-GUIDE-021","Admin Guided Walkthrough","Facilities","Applicable Admin role","Facilities","08","REQUIRED","NOT RUN",""
"ADM-GUIDE-022","Admin Guided Walkthrough","Imports orientation","Applicable Admin role","Imports orientation","11","REQUIRED","NOT RUN",""
"ADM-GUIDE-023","Admin Guided Walkthrough","Imports successful test","Applicable Admin role","Imports successful test","11","REQUIRED","NOT RUN",""
"ADM-GUIDE-024","Admin Guided Walkthrough","Imports bad file","Applicable Admin role","Imports bad file","11","REQUIRED","NOT RUN",""
"ADM-GUIDE-025","Admin Guided Walkthrough","Compliance","Applicable Admin role","Compliance","10","REQUIRED","NOT RUN",""
"ADM-GUIDE-026","Admin Guided Walkthrough","Reporting","Applicable Admin role","Reporting","11","REQUIRED","NOT RUN",""
"ADM-GUIDE-027","Admin Guided Walkthrough","Admin-to-other-hub handoff","Applicable Admin role","Admin-to-other-hub handoff","12/13/14","REQUIRED","NOT RUN",""
"ADM-GUIDE-028","Admin Guided Walkthrough","End-of-session review","Applicable Admin role","End-of-session review","02","REQUIRED","NOT RUN",""
"AUTH-001","Admin Authority UAT","Open Admin normally","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-002","Admin Authority UAT","Open every Admin navigation item","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-003","Admin Authority UAT","Navigate directly to /superuser","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-004","Admin Authority UAT","Attempt a SuperUser/platform mutation","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-005","Admin Authority UAT","Attempt to grant herself SuperUser authority","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-006","Admin Authority UAT","Perform legitimate Admin write","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-007","Admin Authority UAT","Logout then browser Back","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-008","Admin Authority UAT","Expire/revoke session during edit","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-009","Admin Authority UAT","Role removed during active session","Admin-only tester","Authorization","02","REQUIRED","NOT RUN",""
"AUTH-010","Admin Authority UAT","Access sensitive finance/compliance actions","Admin-only tester","Authorization","02/07/10","REQUIRED","NOT RUN",""
"STRESS-001","Real-World Stress UAT","Incomplete required data","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-002","Real-World Stress UAT","Bad formats / special characters","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-003","Real-World Stress UAT","Duplicate submission","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-004","Real-World Stress UAT","Retry after timeout","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-005","Real-World Stress UAT","Network loss during save","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-006","Real-World Stress UAT","Refresh mid-workflow","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-007","Real-World Stress UAT","Browser Back/Forward","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-008","Real-World Stress UAT","Stale record","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-009","Real-World Stress UAT","Concurrent Admin edits","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-010","Real-World Stress UAT","Deleted/deactivated dependency","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-011","Real-World Stress UAT","Late change","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-012","Real-World Stress UAT","Expired session","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
